ID,Titulo,tiempos_inicio (segs.),tiempos_fin (segs.)
,,574.56,575.22
,,590.4,590.91
,,686.98,687.4597
,,764.89,765.52
1133.D25.AGN.LA.01,"Ciclo radial ""Pienso y digo lo que pienso"". Pedro Cuartucci. Parte 2.",57.89603,58.41
324.CA.AGN.L1.02,La poetisa Juana Ibarbourou recita sus obras.,1368.93,1369.65
237.CA.AGN.L1.01,Mensaje del Ingeniero Jorge M. Almada (partido Demócrata Conservador) sobre la situación política del país.,170.13,170.73
,,173.88,174.51
,,247.14,247.62
,,269.37,269.94
,,343.86,344.37
,,481.29,481.82335
,,597.33,597.81
,,616.31,616.88
,,648.23,648.62
,,704.3,704.93
,,726.38,726.83
,,763.22,763.73
,,777.86,778.16
,,782.87,783.35
,,813.32,813.92
140.CA.AGN.L1.02,"Discurso de Juan Perón y Franklin Lucero en el Colegio Militar de la Nación, con motivo de leerse el Decálogo del Soldado Argentino.",879.75,880.56
,,1009.41,1010.060039
,,1017.226963,1017.78
,,1119.24,1120.11
,,1142.79,1143.75
377.CA.AGN.L2.01,"Conferencia de Emilio Juan Vattuone: ""Evocación del pasado de San José de Flores y Floresta"", en el ""Museo Criollo de los Corrales"". Parte 1.",4.800021,5.22
,,90.57,91.23
,,114.3,114.706238
,,389.73,390.21
,,1861.63,1862.14
,,2965.750293,2966.32
1154.D25.AGN.LB.01,"Ciclo radial ""El futuro se hace hoy"". Luis Sandrini. Parte 2.",36.51,37.14
,,47.07,47.7
,,67.109919,67.71
233.CA.AGN.L2.01,"Disertación sobre el tema: ""Magia y misterio del Teatro"". Casa del Teatro, Buenos Aires. Parte 2.",47.04,47.52
,,1153.9,1154.368809
14.D40.AGN.LB.01,Celebración del Día de las Americas en el Instituto Económico Interamericano. Homenaje a Franklin Delano Roosevelt. Parte 4.,54.481245,55.11
,,99.33,99.797629
,,356.04,356.64
,,358.53,359.16
369.CA.AGN.L1.01,"IV Reunión de Gobernadores. El ministro del Interior Gral. Francisco Imaz, imparte directivas para la elaboración de los presupuestos provinciales correspondientes a 1970. Parte 2.",821.57,822.05
,,936.44,936.83
,,2522.89,2523.299373
,,2647.18,2647.582422
,,3583.03,3583.45
247.CA.AGN.L1.01,"Conferencia pronunciada por el filósofo Lanza del Vasto en la sala ""Martín Coronado"" del Teatro Gral. San Martín; para referirse a la orden fundada por el autor de peregrinación a las fuentes; Orden semejante a la Benedictino. Parte 1. ",116.97,117.72
,,195.123896,196.26
,,516.81,517.59
,,781.09,781.78
,,1701.11,1701.8
,,1768.76,1769.51
,,1790.66,1791.47
761.D40.AGN.LB.01,Exposición del Primer Plan Quinquenal. Parte 4.,32.61,33.18
,,67.47,68.13
,,442.413867,442.95
922.D40.AGN.LB.01,Lectura del mensaje de inauguración del 89° período legislativo pronunciado por el Presidente Juan D. Perón. Parte 4.,1.74,2.16
,,34.86,35.55
,,51.87,52.41
,,75.69,76.41
,,104.855244,105.44811
,,227.64,228.136787
,,398.43,398.91
,,753.849795,754.33
,,785.920146,786.46
,,815.680454,816.106372
23.CA.AGN.L1.01,Convernio anglo argentino.,667.856156,668.57
,,1305.37,1305.91
,,1466.62,1467.1
352.CA.AGN.L2.01,Sesión pública en la Academia Nacional de Derecho y Ciencias Sociales para honrar la memoria del Dr. Carlos Saavedra Lamas. Parte 2.,234.15668,234.54
295.CA.AGN.L2.01,IV Congreso Interamericano de Historia de América. Parte 12.,86.01,86.55
277.CA.AGN.L2.01,"Discurso en ocasión de cumplirse el 10º aniversario de la Revolución Libertadora, acto realizado en el estadio del Luna Park. Parte 3.",1096.01,1096.67
371.CA.AGN.L1.01,"Conferencia del Ministro de Economía, José María Dagnino Pastore, sobre ""Los planes de desarrollo industrial"". Parte 2.",772.52,772.97
,,2704.4,2705.06
31.CA.AGN.L1.01,Apertura del Poder Legislativo.,593.4,594.004863
,,1060.93,1061.62
310.CA.AGN.L2.02,Entrevista al compositor y pianista Luis R. Sanmartino.,534.331523,534.84
821.D40.AGN.LA.01,Acto del 17 de Octubre de 1953 en la Plaza de Mayo.  Parte 7.,154.2,154.95
,,287.640791,288.187734
94.CA.AGN.L1.01,"Disertación: ""El Cine Nacional"".",934.3,934.87
,,965.77,966.28
184.CA.AGN.L2.01,"Conferencia pronunciada en la ""Institución Cultural Española"", en recordación de don Miguel de Unamuno al cumplirse el XXV aniversario de su desaparición. Parte 2",731.58,732.290244
182.CA.AGN.L2.02,"Conferencia pronunciada en la Universidad de Buenos Aires, sobre el tema: ""Meditaciones sobre la ciencia y la cultura"". Parte 4",2474.84,2475.08
305.CA.AGN.L2.02,"Disertación del profesor Ángel J. Battistessa: ""Notas contemporáneas en viejos romances castellanos"", la cual se lleva a cabo en el Instituto Argentino de Cultura Hispánica. Buenos Aires. Parte 1.",590.49,590.85
,,692.969883,693.75
46.D30.AGN.LB.01,Discurso del Presidente Perón en la Promulgación del voto femenino. Parte 4.,32.28,32.97
234.CA.AGN.L2.04,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista a Dr. Emir Mercader. Parte 1.",875.12,875.63
,,1116.14,1116.59
,,1132.31,1132.762051
,,1317.18,1317.661934
244.CA.AGN.L2.01,Acto de la incorporación del Dr. José A. Cravioto a la Academia de Historia. (parte 2) ,133.8,134.19
289.CA.AGN.L2.06,"Acto de incorporación del miémbro de número, Profesor Angel J. Battistessa. Parte 1.",469.71,470.400176
267.CA.AGN.L2.02,Reportaje de Francisco Manrique a Vasco Lithao da Cunha. Parte 1.,1833.29,1833.929449
239.CA.AGN.L2.03,"Ciclo de Audiciones titulado ""Tribuna Oral"". Entrevista al Dr. Leopoldo Suárez.",248.73,249.15
,,257.64,258.15
,,299.37,299.76
,,331.89,332.25
,,426.839326,427.35
,,495.96,496.29
,,916.14,916.68
,,1020.24,1020.75
,,1063.863398,1064.202393
,,1070.13,1070.49
,,1179.09,1179.6
357.CA.AGN.L2.02,El Ministro Gerhardt Stolzberg de Investigación Científica de la Rep. Federal de Alemania da una conferencia en su visita a la Argentina en el contexto de la firma del Acuerdo Marco Intergubernamental en materia de cooperación científica y tecnológica,1154.596738,1155.04
,,1265.91,1266.39
,,1605.36,1605.81
,,1618.207178,1618.645811
,,1620.78,1621.2
,,1735.68,1736.13
,,1799.46,1799.73
189.CA.AGN.L1.03,Entrega de los premios nacionales del trienio 1958-1960. Parte 4,126.27,127.05
181.CA.AGN.L2.02,"Conferencia pronunciada en el ""Ateneo Iberoamericano"", en homenaje a Don Enrique Larreta, recientemente fallecido.",78.06,78.48
,,629.93,630.41
975.D30.AGN.LA.01,Mensaje del Vicepresidente Provisional (de Facto) contralmirante Isaac Rojas con motivo de celebrarse el 146 Aniversario de la Revolución de Mayo. Parte 1.,245.61,246.18
252.D25.AGN.LA.01,Inauguración del Monumento a la nueva Constitución. Parte 3.,157.26,157.86
,,282.148799,282.72
,,337.05,337.74
270.CA.AGN.L2.03,Entrevista sobre el mal de chagas.,406.53,407.159648
,,673.98,674.64
328.CA.AGN.L2.01,"Conferencia de Federico B Kirbus: ""Realidad y mito de los platos voladores"". Parte 2.",866.812695,867.26
,,1332.67,1333.21
16.D40.AGN.LA.01,1° Congreso Interamericano de Telecomunicaciones.,536.94082,537.51
1048.D40.AGN.LB.02,"Palabras pronunciadas por el Capitán de navío Alberto Patrón Laplacette, Interventor en la C.G.T, con motivo de celebrarse un nuevo aniversario del 1° de Mayo. Parte 1.",127.23,127.8
298.CA.AGN.L2.02,Relato de Luis Adolfo Cordiviola sobre su rancho en San Isidro.,497.22,497.728359
334.CA.AGN.L1.01,"Conferencia de Guillermo Gallardo en la Universidad del Salvador: ""La Academia del Plata y sus hombres"". Parte 2.",464.91,465.45
,,799.247144,799.85
,,800.164546,800.69
,,806.96,807.56
,,1162.011113,1162.579766
,,1468.759648,1469.21
,,1514.15,1514.66
,,1531.88,1532.51
230.CA.AGN.L2.05,"El Padre Héctor Grandinetti, pronuncia un comentario póstumo a raíz del fallecimiento del Papa Juan XXIII.",59.369088,60.36
,,84.9,85.53
,,109.26,109.95
,,186.091069,186.78
275.CA.AGN.L1.01,"Conferencia ""Centenario del Arzobispado de Buenos Aires y la Escribanía Mayor de Gobierno"" a cargo del Dr. Jorge E. Garrido. Parte 2.",2453.07,2453.82
290.CA.AGN.L1.01,"Acto de incorporación del miémbro de número, Profesor Angel J. Battistessa. Parte 2.",2343.51,2344.14
102.CA.AGN.L1.02,Discurso de Juan Perón y León Bengoa en el fin del ciclo correspondiente al segundo curso de defensa nacional.,45.12,45.658986
,,69.21,69.72
,,110.67,111.10519
,,281.52,282.27
,,344.4,345.12
,,663.430396,663.883029
,,722.8,723.43
,,797.95,798.34
,,806.109355,806.59
,,812.2,812.98
,,911.5,912.1
,,1006.54,1007.08
,,1008.52,1008.97
,,1031.95,1032.64
,,1091.38,1091.83
,,1158.334434,1158.76
,,1185.97,1186.45
,,1200.07,1200.304844
978.D40.AGN.LB.01,Mensaje de navidad por Eva Perón,82.92,83.64
,,126.541172,127.32
,,155.13,156.09
,,212.43,213.09
,,273.87,274.8
,,318.24,318.78
,,323.04,323.67
,,432.36,432.87
,,467.31,468.0
,,672.78,673.53
347.CA.AGN.L2.02,Entrevista a Nicolás Demetrio Donadio Amleto Sub Jefe de la Policía Federal para expresar la evolución del organismo policial anécdotas y hechos vistos en su paso por el cuerpo.,257.52,258.149297
874.D40.AGN.LB.01,Palabras del Presidente de la Nación Juan Perón con motivo de la iniciación del año lectivo. Parte 2.,156.87,157.29
,,321.848936,322.38
,,449.01,449.34
323.CA.AGN.L2.02,Visita de Guillermo Durand Florez  al Archivo General de la Nación.,94.83,95.43
,,96.21,96.81
77.CA.AGN.L1.01,El General Perón proclama el año del Libertador. Parte 2.,71.432212,72.21
,,373.65,374.1
,,596.19,596.85
,,1514.69,1515.44
,,1515.98,1516.577686
221.CA.AGN.L1.01,Grabación de Alfredo Palacios con el objetivo de ser difundida a través de cadena nacional tras los sucesos del 16 de junio de 1955. (no emitida),460.74,461.43
,,807.01937,807.74
,,889.04,889.910557
255.CA.AGN.L2.01,"Conferencia ""La filosofía del General Mitre"".",143.610088,144.03
,,732.33,732.75
,,834.48,834.923145
,,1491.52,1491.94
,,1560.64,1561.15
,,1572.010176,1572.49
205.CA.AGN.L2.03,Entrevista a Alejandro Casona.,442.5,443.1
3.D30.AGN.LA.01,Alberto Teisaire registra un mensaje para inaugurar el Archivo de la Palabra.,140.910205,141.18
895.D40.AGN.LA.01,Clausura del 23° Congreso Extraordinario de la Confederación General de Empleados de Comercio.  Parte 1.,169.83,170.58
,,325.56,326.34
,,342.96,343.77
,,467.49,468.156299
,,485.316855,485.88
370.CA.AGN.L2.01,"IV Reunión de Gobernadores. El ministro del Interior Gral. Francisco Imaz, imparte directivas para la elaboración de los presupuestos provinciales correspondientes a 1970. Parte 5.",509.790879,510.48
,,559.62,560.07
,,831.02,831.56
,,863.39,863.81
,,1022.69,1023.14
,,1117.19,1117.52
,,1126.25123,1126.486074
,,1325.58,1325.928589
,,1952.321055,1952.98
,,1965.762842,1966.39
,,2384.35,2384.86
,,2702.327783,2702.789268
60.D30.AGN.LA.01,Día del empleado publico: Discurso del general Perón. Parte 5.,126.680229,127.5
308.CA.AGN.L1.01,"Programa ""Volver a Vivir"". TV Canal 13. Homenaje a los Quilla Huasi, conjunto Folklórico Argentino.",453.902256,454.47
,,473.28,473.73
,,1559.76,1560.27
,,1568.61,1569.0
,,1860.76,1861.24
,,2132.44,2132.98
,,2254.36,2254.72
180.CA.RA.L1.06,El Dr. Fernando De la Rúa da pautas sobre la situación política del país. ,0.63,1.07731
,,308.52,309.12
1023.D25.AGN.LA.01,"""Cuentos infantiles"". Interpretado por la actriz Silvana Roth con la niña ""Vaccarezza"" y Jorge Arias. Parte 2.",40.019846,40.813597
,,167.22,168.03
914.D40.AGN.LB.01,Acto organizado por la Confederación General Económica solicitando el proyecto de ley de Jubilaciones para empresarios. Parte 2.,50.13,50.608597
,,79.08,79.470674
,,178.442505,178.8
,,447.96,448.47
296.CA.AGN.L2.01,"Conferencia de Juan Alanis Ocampo: ""Reseña histórica de la plaza 25 de mayo de Catamarca"". Parte 2.",1439.39,1440.05
987.D40.AGN.LB.01,Conferencia del Presidente Juan D. Perón a los Convencionales. Parte 2.,249.39,250.10042
,,392.79,393.33
,,408.15,408.69
,,411.33,411.9
,,413.07,413.549561
,,428.01,428.82
,,505.53,506.19
,,759.05,759.5
,,793.79,794.21
,,895.817568,896.63
,,925.43,925.973193
,,929.45,930.001719
,,968.54,969.048682
164.CA.AGN.L1.01,Sexto Congreso Nacional Obrero Textil. Parte 2,16.44,17.07
,,17.43,17.91
,,181.53,181.95
,,192.813794,193.49959
,,193.49959,193.889619
,,195.84,196.23
,,204.72873,205.17
,,269.1,269.67
,,290.970498,291.69
,,294.3,294.84
,,311.31,311.91
,,388.319531,389.07
,,402.303604,402.72
,,417.45,418.02
,,420.6,421.020674
,,470.010586,470.61
,,640.43,641.06
,,643.55,644.0
,,719.78,720.65
,,959.390352,959.9
,,1019.06,1019.63
,,1031.09,1031.72
,,1058.81,1059.41
,,1191.23,1191.95
,,1199.09,1199.48
,,1229.13,1229.583475
,,1240.02,1240.62
,,1262.61,1263.24
,,1266.48,1267.29
,,1268.07,1268.64
,,1278.42,1279.05
,,1298.01,1298.489041
,,1305.06,1305.72
,,1314.780703,1315.16929
,,1358.07,1358.67
,,1362.994629,1363.41
,,1369.92,1370.31
,,1396.59,1397.22
,,1470.868037,1471.29
,,1492.83,1493.52
